Student_ID,Gender,Department,Average_Attendance_On_Class,Are_You_Engaged_With_Any_Co-Curriculum_Activities?,What_Is_Your_Current_CGPA?,Feedback_Rating,Teacher_Feedback,password,Name
S171,Male,ECE,98.77,No,7.78,8,Good,%p5r65Dls,Vivek
S172,Male,AI-DS,64.24,Yes,8.72,7,Good,2Gk9^2eAX,Vivek
S173,Female,ME,77.11,No,5.93,6.5,Average,Fv7M0k3#W,Ananya
S174,Male,IT,27.86,Yes,2.7,3,Poor,Z93l5OUc&,Rohit
S175,Female,ECE,13.73,Yes,1.68,1,Poor,@5Gfi40WT,Bhavya
S176,Male,CSE,98.07,No,8.1,9,Excellent,W3^d0tQg1,Nikhil
S177,Female,CSE,70.88,Yes,9.24,8.5,Good,huZ0E^6d2,Meera
S178,Male,ME,51.91,Yes,7.5,7.5,Good,Rv144xc^u,Akhil
S179,Male,CSE,73.95,No,5.14,6,Average,r1joU2T!1,Kiran
S180,Female,ECE,91.26,No,6.46,7,Good,3d86w#qCI,Divya
S181,Male,CIVIL,77.93,No,7.82,8,Good,71og3FPr@,Vihaan
S182,Female,ME,54.72,No,6.1,6,Average,8DgC1*6ij,Nisha
S183,Female,CSE,69.33,Yes,9.78,7.5,Good,lYb12BC7#,Priya
S184,Male,CSE,59.65,Yes,5.57,6,Average,B8K5#0WGO,Karan
S185,Female,AI-DS,50.46,No,8.51,7,Good,fmr#724VJ,Priya
S186,Male,ECE,74.98,No,6.77,6,Average,S32dI&b9J,Rahul
S187,Female,CIVIL,78.33,No,6.76,6.5,Average,&546WQkrW,Ishita
S188,Female,IT,21.58,Yes,2.53,2,Poor,C8NSp$4N4,Pooja
S189,Male,AI-DS,29.05,No,3.9,3,Poor,^vKt366iZ,Arjun
S190,Male,IT,75.49,Yes,9.02,8,Good,3TLRCG&23,Karan
S191,Male,IT,53.66,Yes,8.81,7.5,Good,7cV^5ST3q,Aarav
S192,Male,ECE,70.51,No,6.93,7,Good,m1oG*9yO6,Siddharth
S193,Male,CSE,52.42,Yes,7.11,6,Average,4gYJk!j96,Sai
S194,Female,CIVIL,50.85,Yes,6.53,5,Average,Kp$kM1s93,Riya
S195,Female,CSE,84.25,Yes,8.3,8.5,Good,5mNFa7D^7,Nisha
S196,Male,AI-DS,69.83,Yes,8.37,7,Good,svk8W%O76,Akhil
S197,Female,CIVIL,89.54,No,6.21,7,Good,1MJ#m1Mn0,Charitha
S198,Female,ME,58.94,No,9.23,7,Good,#2c01vGOy,Aaradhya
S199,Male,CIVIL,66.22,No,8.75,7.5,Good,c#zC682pL,Vamsi
S200,Female,ECE,50.1,No,6.25,5,Average,b!4v14qpC,Ananya
S201,Male,ME,74.69,No,9.48,8,Good,66Nud4Ux!,Rahul
S202,Female,CSE,96.43,No,8.4,9,Excellent,d15A3O&iJ,Sneha
S203,Female,IT,56.44,No,6.11,6,Average,dhK52%Sm7,Kavya
S204,Female,IT,91.43,No,9.73,10,Excellent,xCam2%4G6,Bhavya
S205,Female,CIVIL,62.82,No,8.05,7,Good,88f^sDSb8,Diya
S206,Female,ME,91.31,Yes,9.45,10,Excellent,TFwX630t^,Ishita
S207,Female,AI-DS,58.7,No,9.35,7.5,Good,P^M7Dow42,Ananya
S208,Female,IT,65.38,Yes,6.51,6,Average,2t50l$ITr,Meera
S209,Female,ME,50.74,Yes,6.66,5,Average,@GDE75Ms8,Kavya
S210,Male,IT,65.41,Yes,7.92,6,Average,R^80CQu0D,Akhil
S211,Male,AI-DS,58.61,Yes,7.25,6.5,Average,WPZ4F9*3n,Rahul
S212,Male,ME,87.58,No,7.22,8,Good,7o0Qvz7&i,Akhil
S213,Female,AI-DS,97.13,No,7.82,8,Good,3j2mSI3&V,Riya
S214,Male,CSE,58.42,Yes,9.14,7,Good,gd0WC5p&4,Arjun
S215,Male,ECE,30.78,No,4.37,3.5,Poor,zZDa69b0$,Aditya
S216,Male,AI-DS,96.17,Yes,5.96,6,Average,66#rDSxa3,Anil
S217,Female,ECE,62.22,No,9.69,7,Good,b&3o98yDC,Pooja
S218,Female,IT,75.98,No,7.78,7.5,Good,&6XK4M2GE,Pooja
S219,Male,CIVIL,80.34,Yes,9.39,9,Excellent,4iDA$1TQ9,Varun
S220,Male,CIVIL,70.1,Yes,9.84,8,Good,ys78Y^u3E,Rohit
S221,Female,AI-DS,60.2,No,7.82,6,Average,3sdY8j$j6,Priya
S222,Male,CIVIL,74.57,No,9.84,8.5,Good,XL38#9ruO,Karan
S223,Female,CSE,63.68,No,5.81,6,Average,Xv&2oRu59,Ishita
S224,Male,AI-DS,85.9,Yes,8.61,8,Good,pS#xGB686,Varun
S225,Male,CIVIL,87.01,No,8.09,8.5,Good,hD1kk#8u7,Aditya
S226,Male,CIVIL,50.35,Yes,5.44,6,Average,BB8^u56tP,Anil
S227,Male,AI-DS,16.32,No,3.34,2,Poor,4T4$FTV5N,Siddharth
S228,Female,AI-DS,88.67,No,5.18,6,Average,k1o5^5EHw,Meera
S229,Male,CSE,97.88,No,8.79,9.5,Excellent,8&b9ZU8vP,Rahul
S230,Male,CSE,75.58,No,8.78,8,Good,ux1sD6^L9,Aditya
S231,Male,CSE,42.19,No,4.62,4,Average,XPG!53O3o,Rahul
S232,Male,CIVIL,70.21,No,6.52,7,Good,$g568RIQW,Anil
S233,Female,AI-DS,76.87,Yes,7.89,7.5,Good,8tq^41FHK,Charitha
S234,Male,AI-DS,81.15,No,8.38,8,Good,TQN7x^F87,Rahul
S235,Female,ECE,80.14,Yes,5.48,6,Average,s474%UUWe,Nisha
S236,Male,ECE,97.91,No,7.09,7,Good,Gq*g7Dg29,Rohan
S237,Male,ME,83.84,No,7.04,7,Good,nwsN2Y51&,Arjun
S238,Female,CIVIL,69.56,Yes,5.84,6.5,Average,Z8p3UoF2&,Aaradhya
S239,Male,CSE,69.42,No,6.75,6,Excellent,T3x7Kg0U%,Rakesh
S240,Female,AI-DS,94.84,Yes,6.04,6.5,Average,o97Cw#0YY,Lavanya
S241,Male,ME,77.08,Yes,6.35,6,Average,@F414sxRw,Rakesh
S242,Male,IT,94.37,Yes,9.45,8,Poor,9L7QJ!0ju,Sai
S243,Male,ECE,83.1,No,7.69,7,Good,Ynr0&9eQ7,Aditya
S244,Female,CIVIL,80.89,No,8.61,8,Good,1%D2e6PeP,Riya
S245,Female,ME,91.12,No,2.85,3.5,Poor,23dbjJ!a1,Ananya
S246,Female,AI-DS,69.93,Yes,5.57,6,Average,4!OyL9zL4,Divya
S247,Male,IT,72.46,Yes,7.39,7,Good,J1i$Ob3r1,Anil
S248,Female,AI-DS,51.87,No,6.84,6,Average,Cr6JB#5o2,Ananya
S249,Female,ECE,90.92,Yes,9.15,10,Excellent,Wc8hXH5*7,Ananya
S250,Female,IT,58.31,Yes,6.92,6,Average,u0x0jV4%O,Diya
S251,Male,ME,85.27,No,8.1,8,Good,06CRMZ0J$,Vivek
S252,Male,IT,17.74,Yes,1.31,2,Poor,%IY7v9jc8,Siddharth
S253,Female,AI-DS,56.8,Yes,6.35,5,Average,Pfl%33pK5,Ishita
S254,Female,CIVIL,58.77,No,9.09,7,Good,sB47P^l5r,Navya
S255,Male,CSE,64.23,Yes,7.78,7.5,Good,L6Dh74Fm!,Vihaan
S256,Male,CIVIL,62.53,No,8.1,7,Good,aF884&JuA,Suresh
S257,Female,ME,67.52,No,8.18,7,Good,Ow2Gc#02m,Pooja
S258,Male,CIVIL,92.42,No,5.74,6.5,Average,Sr$rLo920,Sai
S259,Female,AI-DS,63.32,Yes,7.39,6,Average,82L%8oVMn,Navya
S260,Female,ECE,79.72,Yes,8.16,8,Good,7zY4X8f%M,Diya
S261,Male,ME,71.24,Yes,9.46,8.5,Good,$k305pdfk,Manoj
S262,Male,ME,65.33,No,8.43,7,Good,*K5eqPy59,Kiran
S263,Male,CIVIL,62.74,Yes,8.34,7,Good,YD!i67C3J,Kiran
S264,Male,CIVIL,89.34,No,5.91,6,Average,8V7&LALZ4,Arjun
S265,Female,ECE,91.19,No,7.63,8,Good,ZtND9U1#0,Saanvi
S266,Male,IT,82.46,Yes,8.26,8.5,Good,4Ln^WaE83,Rohan
S267,Male,CSE,70.13,Yes,8.1,8,Good,z916$Bgrv,Rakesh
S268,Female,CIVIL,94.86,No,8.29,9,Excellent,0ssRy^55d,Ishita
S269,Male,AI-DS,93.63,No,9.35,10,Excellent,Hc^iH6j73,Nikhil
S270,Male,CSE,97.42,No,6.01,6,Average,D^6I0OSH2,Rahul
S271,Male,CIVIL,88.34,Yes,9.69,10,Excellent,Fg7#0zq6p,Vamsi
S272,Female,IT,54.87,Yes,6.47,6,Average,14ya#5Bdn,Lavanya
S273,Female,CIVIL,82.29,No,5.28,6.5,Average,cAD7&u5b4,Navya
S274,Female,ME,73.17,Yes,6.46,6,Average,Fy5%75RYE,Charitha
S275,Male,IT,51.78,No,6.04,6,Average,*3K3AW7Ox,Aarav
S276,Female,ECE,96.05,No,8.91,9.5,Excellent,U*cz5XD97,Pooja
S277,Male,CSE,64.05,Yes,9.75,7,Good,0S*9kH1VK,Anil
S278,Male,IT,51.08,Yes,6.05,6,Average,Rn76%3pbh,Anil
S279,Male,AI-DS,88.06,Yes,8.83,8,Good,p47L3%sCC,Rakesh
S280,Female,CSE,90.74,Yes,5.87,6,Average,F6G$PoK74,Ananya
S281,Female,CSE,63.34,Yes,5.95,5.5,Average,ed!H11UQ0,Navya
S282,Male,CSE,83.66,Yes,6.48,7,Good,E%6Z76piM,Nikhil
S283,Female,CSE,79.33,No,5.53,6,Average,^E38qUzO8,Anjali
S284,Female,ME,56.83,No,7.77,6,Average,CAm25wS0@,Lavanya
S285,Female,ME,50.18,Yes,6.49,5.5,Average,2z%RJ3bl8,Sneha
S286,Female,IT,77.82,Yes,5.63,6,Average,40P7c!Vsy,Nisha
S287,Male,IT,87.74,No,6.65,7,Good,6*7gOo0Nu,Rohan
S288,Female,ECE,69.39,Yes,8.47,7.5,Good,h9dg30hZ!,Navya
S289,Male,ME,54.27,Yes,5.43,5,Average,wtQb&j025,Anil
S290,Female,CIVIL,71.71,No,9.61,8,Good,2i8K!Vr7s,Ananya
S291,Female,ME,86.61,Yes,9.53,9,Excellent,u#CRK5Y00,Ananya
S292,Male,IT,50.73,Yes,5.99,6,Average,ax264DEJ@,Sai
S293,Female,AI-DS,73.69,Yes,6.1,6,Average,2!64jTRQm,Diya
S294,Male,ME,84.95,No,8.46,8,Good,EGXz24N4!,Suresh
S295,Female,ECE,16.77,Yes,4.26,3.5,Poor,ZIK$I49A1,Charitha
S296,Female,ECE,65.45,No,8.12,7.5,Average,bu8!1xro2,Bhavya
S297,Male,CIVIL,96.98,No,7.59,8,Good,oT1Fi96!h,Suresh
S298,Female,IT,90.87,No,6.89,7,Good,xT7du34@v,Navya
S299,Female,AI-DS,50.69,Yes,8.37,6,Average,j210E^AjI,Nisha
S300,Female,AI-DS,91.45,No,7.66,7.5,Good,8W1m#w1sL,Nisha
S301,Female,AI-DS,61.8,No,6.02,6,Average,0lv0$QVb9,Riya
S302,Female,CIVIL,85.13,No,6.8,6,Average,P&3jL82lG,Charitha
S303,Male,ME,75.96,Yes,7.3,7,Good,f1e*4Lwc6,Vihaan
S304,Male,AI-DS,30.21,No,3.33,3,Poor,68zR3jdr&,Sai
S305,Female,CSE,26.22,No,1.99,2.5,Poor,Qw6%9U9Kd,Riya
S306,Female,CSE,87.74,Yes,7.85,8,Good,5Paf1!Yn2,Keerthi
S307,Female,IT,62.66,Yes,6.39,6,Average,6iDUk!57e,Charitha
S308,Female,IT,95.58,Yes,6.87,7,Good,2ubW$21Ln,Nisha
S309,Male,CIVIL,81.28,Yes,5.79,6.5,Average,388kELx@i,Siddharth
S310,Female,IT,91.12,No,8.68,9,Excellent,0nn0&b8Dw,Pooja
S311,Male,AI-DS,62.06,Yes,9.55,7,Good,zH8CO$m48,Vivek
S312,Male,AI-DS,20.7,Yes,3.8,3,Poor,!Do7vca30,Arjun
S313,Male,IT,74.26,No,8.39,8.5,Good,J39&N8Bze,Akhil
S314,Male,AI-DS,99.72,Yes,7.28,8,Good,7ah^U34iU,Suresh
S315,Female,ECE,65.27,No,7.98,6,Average,C3d9$wrV4,Charitha
S316,Male,CIVIL,69.52,Yes,9.26,7,Good,B9$9c9tDi,Varun
S317,Female,IT,74.95,No,9.18,7.5,Good,uPh*G620g,Nisha
S318,Male,CSE,56.26,Yes,7.7,6,Average,H#G1z09FZ,Karan
S319,Male,ME,51.22,No,5.41,9,Good,1N#1DVJG0,Rahul
S320,Male,IT,80.93,No,9.37,8.5,Good,MI9Qt*p17,Vamsi
S321,Female,ECE,82.59,No,7.09,9,Average,c33@EXl1F,Bhavya
S322,Female,ECE,95.55,No,6.61,2,Average,$dP6s9y4T,Ananya
S323,Female,CIVIL,79.68,No,6.25,6,Average,$B6EUg80F,Riya
S324,Male,ME,92.77,Yes,8.09,5,Average,8IW0vRp0*,Karan
S325,Female,ME,61.98,No,5.66,4.5,Average,6Bg14%qRz,Nisha
S326,Female,AI-DS,79.61,No,7.19,7,Good,yrMWY61!9,Charitha
S327,Female,ECE,81.5,No,9.41,8,Good,#37Ix9vMl,Saanvi
S328,Female,AI-DS,88.37,Yes,7.06,7,Good,*4l22qcEq,Divya
S329,Male,ECE,83.63,Yes,7.25,6,Average,s611po^fX,Rohit
S330,Male,CIVIL,62.07,No,5.76,6.5,Average,a@sP2H9R7,Vivek
