Student_ID,Gender,Department,Average_Attendance_On_Class,Are_You_Engaged_With_Any_Co-Curriculum_Activities?,What_Is_Your_Current_CGPA?,Feedback_Rating,Teacher_Feedback,password
S2022_101,Male,BIOTECH,74.91,Yes,8.68,10,Excellent,Pwd1012022
S2022_102,Other,EEE,78.98,No,8.51,7,Average,Pwd1022022
S2022_103,Male,CSE,64.88,Yes,5.88,2,Poor,Pwd1032022
S2022_104,Female,IT,84.52,No,5.08,7,Average,Pwd1042022
S2022_105,Other,CIVIL,87.5,No,5.64,10,Poor,Pwd1052022
S2022_106,Female,CSE,88.65,Yes,9.61,5,Good,Pwd1062022
S2022_107,Female,ECE,88.53,No,7.14,5,Excellent,Pwd1072022
S2022_108,Female,CIVIL,74.12,No,5.67,3,Poor,Pwd1082022
S2022_109,Male,CSE,75.45,No,7.92,8,Good,Pwd1092022
S2022_110,Female,CIVIL,65.05,Yes,6.8,5,Average,Pwd1102022
S2022_111,Male,MECH,80.02,No,7.71,8,Average,Pwd1112022
S2022_112,Other,EEE,89.52,No,6.66,10,Average,Pwd1122022
S2022_113,Other,MECH,95.19,Yes,7.19,4,Excellent,Pwd1132022
S2022_114,Other,EEE,73.59,Yes,7.13,4,Excellent,Pwd1142022
S2022_115,Male,MECH,98.35,No,9.49,10,Excellent,Pwd1152022
S2022_116,Female,IT,92.24,Yes,8.73,5,Good,Pwd1162022
S2022_117,Female,CIVIL,70.05,No,6.64,4,Average,Pwd1172022
S2022_118,Male,ECE,70.54,Yes,6.26,6,Good,Pwd1182022
S2022_119,Other,BIOTECH,94.57,Yes,6.44,2,Good,Pwd1192022
S2022_120,Male,EEE,66.73,Yes,8.91,3,Good,Pwd1202022
S2022_121,Female,EEE,96.97,No,6.88,7,Excellent,Pwd1212022
S2022_122,Female,IT,99.91,No,9.5,9,Average,Pwd1222022
S2022_123,Other,MECH,65.5,Yes,8.8,10,Average,Pwd1232022
S2022_124,Male,CIVIL,79.17,No,9.57,3,Poor,Pwd1242022
S2022_125,Female,CSE,80.83,No,9.52,10,Average,Pwd1252022
S2022_126,Female,BIOTECH,98.5,No,7.05,3,Good,Pwd1262022
S2022_127,Other,CIVIL,73.53,Yes,5.52,3,Good,Pwd1272022
S2022_128,Female,MECH,74.67,No,9.49,3,Average,Pwd1282022
S2022_129,Male,BIOTECH,73.36,Yes,5.05,6,Good,Pwd1292022
S2022_130,Female,ECE,74.71,No,7.53,3,Excellent,Pwd1302022
S2022_131,Female,ECE,61.74,Yes,7.81,1,Good,Pwd1312022
S2022_132,Other,CSE,61.34,Yes,7.22,9,Excellent,Pwd1322022
S2022_133,Female,CSE,89.23,No,7.44,8,Excellent,Pwd1332022
S2022_134,Other,EEE,95.0,Yes,9.16,9,Average,Pwd1342022
S2022_135,Female,ECE,64.73,No,7.54,9,Excellent,Pwd1352022
S2022_136,Male,ECE,79.1,No,5.67,10,Average,Pwd1362022
S2022_137,Female,EEE,84.53,Yes,6.09,4,Excellent,Pwd1372022
S2022_138,Male,MECH,94.45,Yes,9.77,9,Poor,Pwd1382022
S2022_139,Male,IT,89.25,Yes,6.46,8,Good,Pwd1392022
S2022_140,Female,EEE,78.23,Yes,6.91,4,Average,Pwd1402022
S2022_141,Other,MECH,63.9,No,5.41,6,Excellent,Pwd1412022
S2022_142,Other,BIOTECH,75.21,Yes,5.68,5,Good,Pwd1422022
S2022_143,Female,CSE,66.41,Yes,7.45,10,Good,Pwd1432022
S2022_144,Male,IT,78.38,No,9.09,2,Good,Pwd1442022
S2022_145,Other,CIVIL,76.37,No,7.75,9,Poor,Pwd1452022
S2022_146,Female,EEE,95.45,No,5.12,10,Good,Pwd1462022
S2022_147,Male,ECE,73.69,No,5.35,5,Excellent,Pwd1472022
S2022_148,Male,CIVIL,88.59,No,7.26,7,Poor,Pwd1482022
S2022_149,Male,MECH,82.67,No,8.51,5,Excellent,Pwd1492022
S2022_150,Male,CIVIL,84.7,Yes,7.99,3,Good,Pwd1502022
S2022_151,Female,ECE,66.15,No,5.13,1,Poor,Pwd1512022
S2022_152,Male,CSE,96.81,No,8.28,6,Excellent,Pwd1522022
S2022_153,Male,BIOTECH,86.59,No,8.29,10,Poor,Pwd1532022
S2022_154,Other,CIVIL,75.02,No,9.5,2,Average,Pwd1542022
S2022_155,Male,CIVIL,70.49,Yes,5.78,8,Excellent,Pwd1552022
S2022_156,Male,EEE,74.62,No,6.21,8,Excellent,Pwd1562022
S2022_157,Male,EEE,91.18,Yes,7.76,1,Average,Pwd1572022
S2022_158,Female,CSE,77.91,No,6.09,9,Excellent,Pwd1582022
S2022_159,Male,BIOTECH,68.35,No,5.19,3,Poor,Pwd1592022
S2022_160,Female,IT,75.39,Yes,6.48,4,Average,Pwd1602022
S2022_161,Male,MECH,77.01,Yes,6.24,3,Average,Pwd1612022
S2022_162,Female,ECE,87.45,Yes,7.75,4,Poor,Pwd1622022
S2022_163,Female,ECE,96.38,Yes,5.49,4,Good,Pwd1632022
S2022_164,Other,MECH,99.79,No,5.39,3,Excellent,Pwd1642022
S2022_165,Female,BIOTECH,64.61,No,10.0,5,Excellent,Pwd1652022
S2022_166,Female,ECE,87.96,No,9.9,5,Good,Pwd1662022
S2022_167,Other,CIVIL,66.11,Yes,6.87,6,Good,Pwd1672022
S2022_168,Female,CIVIL,69.59,Yes,5.7,3,Excellent,Pwd1682022
S2022_169,Female,IT,61.94,No,9.74,3,Good,Pwd1692022
S2022_170,Other,MECH,72.77,Yes,5.63,8,Average,Pwd1702022
S2022_171,Female,CIVIL,60.17,No,7.38,9,Excellent,Pwd1712022
S2022_172,Other,BIOTECH,62.71,No,7.17,4,Good,Pwd1722022
S2022_173,Other,ECE,89.24,Yes,9.05,10,Poor,Pwd1732022
S2022_174,Other,IT,78.74,Yes,8.55,3,Average,Pwd1742022
S2022_175,Female,IT,69.44,Yes,5.35,7,Excellent,Pwd1752022
S2022_176,Male,ECE,68.25,No,8.82,7,Excellent,Pwd1762022
S2022_177,Female,MECH,78.56,Yes,6.97,6,Good,Pwd1772022
S2022_178,Female,ECE,73.82,No,6.99,3,Poor,Pwd1782022
S2022_179,Female,MECH,88.97,Yes,9.07,7,Poor,Pwd1792022
S2022_180,Male,MECH,88.68,No,7.0,10,Good,Pwd1802022
S2022_181,Female,IT,72.42,No,7.25,4,Good,Pwd1812022
S2022_182,Other,CSE,96.63,No,5.02,8,Excellent,Pwd1822022
S2022_183,Female,ECE,79.58,No,8.59,2,Excellent,Pwd1832022
S2022_184,Other,CIVIL,96.75,No,9.29,5,Excellent,Pwd1842022
S2022_185,Other,IT,86.38,Yes,9.57,7,Poor,Pwd1852022
S2022_186,Female,CSE,60.42,No,7.47,6,Poor,Pwd1862022
S2022_187,Female,EEE,76.98,No,5.17,10,Average,Pwd1872022
S2022_188,Other,CIVIL,81.35,Yes,7.9,9,Good,Pwd1882022
S2022_189,Other,IT,74.12,No,7.42,3,Poor,Pwd1892022
S2022_190,Female,BIOTECH,80.06,Yes,7.36,6,Good,Pwd1902022
S2022_191,Other,BIOTECH,90.89,No,8.11,10,Average,Pwd1912022
S2022_192,Male,CIVIL,94.21,No,5.69,10,Poor,Pwd1922022
S2022_193,Female,CIVIL,68.89,Yes,7.11,7,Poor,Pwd1932022
S2022_194,Female,BIOTECH,66.33,No,9.27,7,Average,Pwd1942022
S2022_195,Other,EEE,65.5,Yes,6.6,2,Poor,Pwd1952022
S2022_196,Other,CIVIL,98.33,No,5.28,4,Poor,Pwd1962022
S2022_197,Other,IT,74.12,No,9.8,5,Poor,Pwd1972022
S2022_198,Female,CIVIL,67.66,No,5.79,8,Excellent,Pwd1982022
S2022_199,Female,CIVIL,73.13,Yes,10.0,3,Poor,Pwd1992022
S2022_200,Other,CSE,65.16,Yes,7.0,9,Average,Pwd2002022
